水;shuǐ (water)
王;wáng (Wang)
张;zhāng (Zhang, measure word for flat objects)
紧张;jǐn zhāng (nervous)
鱼;yú (fish)
面;miàn (noodles)
前面;qián miàn (front)
外面;wài mian (outside)
拉面;lā miàn (ramen)
面试;miàn shì (interview)
号码;hào mǎ (number)
号;hào (date)
几号;jǐ hào (what date)
信号;xìn hào (signal)
密码;mì mǎ (password)
香港;xiāng gǎng (Hong Kong)
香蕉;xiāng jiāo (banana)
纽约;niǔ yuē (New York)
住;zhù (live)
住过;zhù guò (lived)
早安;zǎo ān (good morning)
早;zǎo (early)
关;guān (close)
关门;guān mén (closed)
关系;guān xi (relationship)
海关;hǎi guān (customs)
关心;guān xīn (to care)
关于;guān yú (about)
关注;guān zhù (follow)
联系;lián xì (contact)
伦敦;lún dūn (London)
一起;yì qǐ (together)
姐姐;jiě jie (older sister)
兄弟姐妹;xiōng dì jiě mèi (siblings)
姐妹;jiě mèi (sisters)
爱;ài (love)
最爱;zuì ài (favorite)
谁;shéi (who)
弟弟;dì di (younger brother)
兄弟;xiōng dì (brothers)
妹妹;mèi mei (younger sister)
哥哥;gē ge (older brother)
知道;zhī dào (know)
味道;wèi dao (flavor)
街道;jiē dào (street)
问;wèn (ask)
请问;qǐng wèn (Excuse me)
问题;wèn tí (question)
请;qǐng (please, invite, treat' or 'invite')
请等;qǐng děng (please wait)
请进;qǐng jìn (please come in)
请假;qǐng jià (take a leave)
语言;yǔ yán (language)
语法;yǔ fǎ (grammar)
晚安;wǎn ān (good night)
安全;ān quán (safe)
安全检查;ān quán jiǎn chá (security check)
安静;ān jìng (quiet)
安排;ān pái (arrange)
次;cì (time)
一次;yí cì (once)
帮助;bāng zhù (help)
帮;bāng (help)
帮忙;bāng máng (help)
最近;zuì jìn (recently)
近;jìn (close)
靠近;kào jìn (close)
附近;fù jìn (near)
久;jiǔ (long)
晚;wǎn (late)
太晚;tài wǎn (too late)
错;cuò (wrong)
写错;xiě cuò (write incorrectly)
年;nián (year)
每年;měi nián (every year)
一年;yì nián (one year)
年级;nián jí (grade)
年轻;nián qīng (young)
三年;sān nián (three years)
星期几;xīng qī jǐ (what day of the week)
几岁;jǐ suì (how old)
几乎;jī hū (almost)
几楼;jǐ lóu (which floor)
几度;jǐ dù (what is the temperature)
半;bàn (half)
半只;bàn zhī (half)
星期;xīng qī (week)
星期三;xīng qī sān (Wednesday)
每星期三;měi xīng qī sān (every Wednesday)
星星;xīng xing (star)
岁;suì (years old)
猫;māo (cat)
熊猫;xióng māo (panda)
猫头鹰;māo tóu yīng (owl)
狗;gǒu (dog)
它;tā (it)
丈夫;zhàng fu (husband)
功夫;gōng fu (kung fu)
慢;màn (slow)
得;de (particle used to link a verb or an adjective to a complement which describes the manner or degree, have to)
觉得;jué de (feel)
考得;kǎo de (tested)
记得;jì de (remember)
喂;wéi (hello)
矮;ǎi (short)
朋友;péng you (friend)
男朋友;nán péng you (boyfriend)
朋友圈;péng you quān (Moments)
男;nán (male)
宅男;zhái nán (homebody)
每;měi (every)
了;le (finishing particle)
到了;dào le (arrived)
输了;shū le (lost)
赢了;yíng le (won)
花了;huā le (spent)
除了;chú le (except)
极了;jí le (extremely)
戴了;dài le (wore)
等了;děng le (waited)
丢了;diū le (lost)
离开了;lí kāi le (left)
忘了;wàng le (forgot)
别忘了;bié wàng le (don't forget)
为了;wèi le (in order to)
了解;liǎo jiě (understand)
死了;sǐ le (died)
胖了;pàng le (gained weight)
瘦了;shòu le (lost weight)
右边;yòu bian (right)
右;yòu (right)
往右;wǎng yòu (to the right)
左边;zuǒ bian (left)
旁边;páng biān (next to)
一边;yì biān (at the same time)
南边;nán biān (south)
海边;hǎi biān (seaside)
左;zuǒ (left)
往左;wǎng zuǒ (to the left)
前;qián (ago, forward)
往前;wǎng qián (straight ahead)
路;lù (road)
走路;zǒu lù (walk)
迷路;mí lù (lost)
马路;mǎ lù (road)
过马路;guò mǎ lù (cross the road)
到;dào (to)
迟到;chí dào (to be late)
遇到;yù dào (to encounter)
走;zǒu (walk)
往;wǎng (towards)
游戏;yóu xì (game)
游泳;yóu yǒng (swim)
游;yóu (swim)
导游;dǎo yóu (tour guide)
漫游;màn yóu (roaming)
玩;wán (play)
听;tīng (listen)
跳舞;tiào wǔ (dance)
班;bān (class)
从;cóng (from)
睡觉;shuì jiào (sleep)
回;huí (return, reply)
回答;huí dá (answer)
回复;huí fù (reply)
放心;fàng xīn (relax)
放假;fàng jià (to go on vacation)
放松;fàng sōng (relax)
放;fàng (put)
放弃;fàng qì (give up)
一共;yí gòng (altogether)
只;zhǐ (only, measure word for one of a pair)
块;kuài (kuai, piece)
分;fēn (fen)
分钟;fēn zhōng (minute)
一分钟;yì fēn zhōng (a minute)
分享;fēn xiǎng (share)
收;shōu (accept)
收据;shōu jù (receipt)
千;qiān (thousand)
信心;xìn xīn (confidence)
相信;xiāng xìn (believe)
微信;wēi xìn (wechat)
用;yòng (use)
应用;yìng yòng (app)
用坏;yòng huài (break)
费用;fèi yòng (cost)
万;wàn (ten thousand)
一万;yī wàn (ten thousand)
太;tài (too)
太阳;tài yáng (sun)
干;gàn (do)
干净;gān jìng (clean)
干燥;gān zào (dry)
报纸;bào zhǐ (newspaper)
报告;bào gào (report)
报销;bào xiāo (reimburse)
汇报;huì bào (report back)
报警;bào jǐng (call the police)
纸;zhǐ (paper)
项目;xiàng mù (project)
体育;tǐ yù (sports)
身体;shēn tǐ (body)
找;zhǎo (look for)
位;wèi (measure word for individuals)
订位;dìng wèi (reserve a seat)
外;wài (outside)
简单;jiǎn dān (simple)
些;xiē (some)
一些;yì xiē (some)
给;gěi (give, to give)
鸡蛋;jī dàn (egg)
宫保鸡丁;gōng bǎo jī dīng (kung pao chicken)
蛋糕;dàn gāo (cake)
袋;dài (bag)
因为;yīn wèi (because)
为;wèi (about)
厕所;cè suǒ (toilet)
轻松;qīng sōng (relax)
拍照;pāi zhào (take photos)
照片;zhào piàn (photo)
护照;hù zhào (passport)
照顾;zhào gu (to take care of)
印度;yìn dù (India)
温度;wēn dù (temperature)
度;dù (degree)
自拍;zì pāi (selfie)
工作;gōng zuò (work)
工资;gōng zī (salary)
作业;zuò yè (homework)
合作;hé zuò (cooperate)
胖;pàng (fat)
开始;kāi shǐ (start)
开;kāi (open)
开门;kāi mén (open the door)
离开;lí kāi (leave)
健康;jiàn kāng (healthy)
锻炼;duàn liàn (exercise)
饮料;yǐn liào (beverage)
门;mén (door)
您;nín (you)
啤酒;pí jiǔ (beer)
酒;jiǔ (alcohol)
准备;zhǔn bèi (prepare)
准时;zhǔn shí (on time)
差;chà (difference)
时差;shí chā (jet lag)
时候;shí hou (time)
钟;zhōng (clock)
刻;kè (quarter)
一刻;yí kè (a quarter)
三刻;sān kè (three quarters)
整;zhěng (sharp)
读;dú (read)
难;nán (difficult)
难过;nán guò (sad)
碗;wǎn (bowl)
刀;dāo (knife)
办法;bàn fǎ (method)
教室;jiào shì (classroom)
叉;chā (fork)
鸟;niǎo (bird)
树;shù (tree)
运动;yùn dòng (sport)
活动;huó dòng (activity)
泳;yǒng (swim)
马;mǎ (horse)
骑马;qí mǎ (riding horses)
骑;qí (ride)
过;guò (have been, spend, cross)
经过;jīng guò (pass by)
划过;huá guò (rowed)
跟;gēn (with)
浪漫;làng màn (romantic)
告诉;gào su (tell)
广告;guǎng gào (advertisement)
头;tóu (head)
头疼;tóu téng (headache)
馒头;mán tou (steamed bun)
应该;yīng gāi (should)
休息;xiū xi (rest)
疼;téng (hurt)
药;yào (medicine)
寒假;hán jià (winter vacation)
暑假;shǔ jià (summer vacation)
一定;yí dìng (must)
决定;jué dìng (decision)
别;bié (don't)
特别;tè bié (special)
留;liú (stay)
感冒;gǎn mào (cold)
希望;xī wàng (hope)
失望;shī wàng (disappointed)
能;néng (can)
事情;shì qing (thing)
事;shì (plans; something to do)
完;wán (finish)
卖完;mài wán (sold out)
完成;wán chéng (complete)
写完;xiě wán (finish writing)
饱;bǎo (full)
已经;yǐ jīng (already)
经理;jīng lǐ (manager)
免费;miǎn fèi (free)
渴;kě (thirsty)
饿;è (hungry)
甜;tián (sweet)
皮鞋;pí xié (leather shoe)
试;shì (try)
考试;kǎo shì (exam)
蓝;lán (blue)
双;shuāng (pair)
比;bǐ (used to form comparisons)
比赛;bǐ sài (competition)
衬衫;chèn shān (shirt)
质量;zhì liàng (quality)
耳朵;ěr duo (ear)
眼睛;yǎn jing (eye)
眼镜;yǎn jìng (glasses)
黑;hēi (black)
黑板;hēi bǎn (blackboard)
脸;liǎn (face)
又;yòu (and)
嘴巴;zuǐ ba (mouth)
脚;jiǎo (foot)
离;lí (away from)
停;tíng (to stop)
让;ràng (to let)
晴;qíng (sunny)
雪;xuě (snow)
着;zhe (-ing)
等着;děng zhe (waiting)
刮着;guā zhe (blowing)
着急;zháo jí (worried)
带;dài (bring)
伞;sǎn (umbrella)
就;jiù (then)
刮;guā (blow)
虽然;suī rán (although)
当然;dāng rán (of course)
突然;tū rán (suddenly)
穿;chuān (wear)
黄;huáng (yellow)
黄河;huáng hé (Yellow River)
紫;zǐ (purple)
卖;mài (sell)
表演;biǎo yǎn (performance)
介绍;jiè shào (introduce)
笑;xiào (laugh)
帅;shuài (handsome)
春;chūn (spring)
春卷;chūn juǎn (spring roll)
而且;ér qiě (but also)
参观;cān guān (visit)
担心;dān xīn (worry)
赢;yíng (win)
教;jiào (to teach)
懂;dǒng (understand)
题;tí (question)
爷爷;yé ye (grandfather)
阿姨;ā yí (aunt)
叔叔;shū shu (uncle)
亲戚;qīn qi (relative)
父母;fù mǔ (parents)
夏;xià (summer)
冬;dōng (winter)
秋;qiū (fall)
刚;gāng (just)
刚才;gāng cái (just)
南方;nán fāng (south)
旧;jiù (old)
角;jiǎo (jiao)
换;huàn (change)
退货;tuì huò (return goods)
退款;tuì kuǎn (refund)
讲;jiǎng (talk)
辣;là (spicy)
其实;qí shí (actually)
极;jí (extremely)
苦;kǔ (bitter)
辛苦;xīn kǔ (hard)
咸;xián (salty)
戴;dài (wear)
先;xiān (first)
一直;yì zhí (always)
自己;zì jǐ (self)
签证;qiān zhèng (visa)
检查;jiǎn chá (check)
忘记;wàng jì (forget)
笔记;bǐ jì (notes)
种;zhǒng (type)
容易;róng yì (easy)
更;gèng (more)
提醒;tí xǐng (remind)
奇怪;qí guài (strange)
害怕;hài pà (to be afraid)
哭;kū (to cry)
专业;zhuān yè (major)
必须;bì xū (must)
成绩;chéng jì (grade)
铅笔;qiān bǐ (pencil)
借;jiè (borrow)
向;xiàng (towards)
清楚;qīng chu (clear)
变化;biàn huà (change)
结婚;jié hūn (marry)
结束;jié shù (end)
选择;xuǎn zé (choose)
草;cǎo (grass)
层;céng (floor)
环境;huán jìng (environment)
楼;lóu (floor)
邻居;lín jū (neighbor)
脏;zàng (dirty)
丢;diū (throw)
垃圾;lā jī (trash)
垃圾桶;lā jī tǒng (trash can)
桶;tǒng (bucket)
严重;yán zhòng (serious)
解决;jiě jué (solve)
协议;xié yì (agreement)
世界;shì jiè (world)
爬山;pá shān (mountain climbing)
或者;huò zhě (or)
麻将;má jiàng (mahjong)
麻烦;má fan (annoying)
腿;tuǐ (leg)
死;sǐ (enhancer word used to indicate severity)
词典;cí diǎn (dictionary)
咳嗽;ké sou (cough)
抽烟;chōu yān (smoke)
充值;chōng zhí (recharge)
取消;qǔ xiāo (cancel)
终于;zhōng yú (finally)
灯;dēng (light)
画;huà (painting)
坏;huài (broken)
接;jiē (pick up)
登录;dēng lù (log in)
段;duàn (period)
谈;tán (talk)
升职;shēng zhí (promotion)
根据;gēn jù (according to)
划;huá (rowing)
划船;huá chuán (rowing)
划龙舟;huá lóng zhōu (dragon boat racing)
龙舟;lóng zhōu (dragon boat)
保险;bǎo xiǎn (insurance)
保持;bǎo chí (keep)
土豪;tǔ háo (tycoon)
萌;méng (adorable)
评论;píng lùn (comment)
粉丝;fěn sī (fan)
投资;tóu zī (investment)
预算;yù suàn (budget)
咨询;zī xún (consultation)
救命;jiù mìng (Help)
受伤;shòu shāng (injure)
警察;jǐng chá (police)
责任;zé rèn (responsibility)
抱歉;bào qiàn (sorry)
原谅;yuán liàng (forgive)
鼓励;gǔ lì (encourage)
橙;chéng (orange)
